Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Sierra Leone,0,5.99,0.17,0,3.21,0.3,1.21,0.26,2.04,0.04,2.2,0.07,4.86,0.47,0.29,0.45,0.07,0,0,0.06,44,34.05,0.27,7.5,25.6,0.05,0,0.03,0.02,7977000
Slovakia,0,25.49,14.94,0,2,1.12,0.23,0.14,5.85,0.01,3.27,0.09,0.77,0.02,0.06,0.04,0.77,0,0,0.43,24.51,20.15,0.13,22.4,3.4,4.79,0.09,4.36,0.34,5462000
Slovenia,0,26.62,10,0,3.58,1.13,0.37,0.46,8.59,0.06,6.42,0.11,0.87,0.04,0.18,0.05,2.41,0,0,1.59,23.39,13.87,0.27,22.5,0,8.24,0.17,7.31,0.75,2103000
Solomon Islands,0,13.66,3.47,0,3.08,0.29,2.55,0.57,6.54,0.1,0.76,0.05,16.57,0.52,0.2,2.18,0.98,0,0,0.31,36.34,11.75,0.08,20.5,8.9,0,0,0,0,715000
South Africa,0,19.77,0.85,0,6.43,1.1,0.24,0.09,14.15,0,3.11,0.33,1.18,0.04,0.1,0.05,0.28,0,0,0.09,30.23,21.79,0.16,27,6.2,2.47,0.08,2.25,0.15,59628000
Spain,0,19.53,2.46,0,1.08,1.25,1.08,0.38,9.28,0,5.36,0.09,1.05,0.1,0.01,0.05,0.5,0,0,1.36,30.47,25.69,0.26,27.1,0,6.18,0.13,0.32,5.73,47635000
Sri Lanka,0,10.13,0.32,0,2.72,1.17,2.28,0.58,2.03,0.01,4.23,0.1,27.19,0.38,1.43,0.09,0.12,0,0.01,0.42,39.86,6.7,0.24,5.4,9,0.31,0,0.29,0.03,21937000
Sudan,0,20.15,1.71,0,5.7,0.23,0.06,0.4,7.08,0.01,10.81,0.26,3.73,0.41,0.12,0.06,0.06,0,0,0,29.85,19.02,0.35,7.4,20.1,0.07,0,0.05,0.01,43849000
Suriname,0,14.88,0.78,0,3.16,0.96,0.77,0.23,10.64,0.16,1.69,0.03,3.11,0.06,0.06,0.11,0.88,0,0,0.16,35.13,26.91,0.28,26.5,8.5,1.43,0.03,1.32,0.09,605000
Sweden,0,28.41,9.71,0,1.95,1.37,0.88,0.36,8.85,0.05,7.59,0.01,0.95,0.03,0.11,0.05,0.23,0,0,0.97,21.59,16.66,0.23,22.1,0,5.67,0.12,0,5.55,10377000
Switzerland,0,28.11,6.23,0,1.12,0.93,0.4,0.34,12.09,0,8.38,0.07,0.53,0.03,0.08,0.04,0.17,0,0,1.98,21.9,17.39,0.21,21.2,0,6.16,0.11,3.68,2.37,8634000
Taiwan*,0,19.32,2.7,0,1.16,1.48,0.47,0.3,13.28,0.02,1.32,0.07,2.82,0.05,0.11,0.02,0.48,0,0,0.61,30.68,24.8,0.31,0,3.5,0,0,0,0,23610000
Tajikistan,0,12.68,0.03,0,10.2,0.57,0.02,0.36,7.16,0.03,4.68,0.22,1.27,0.11,0.02,0.08,1.13,0,0,0.42,37.32,22.76,0.94,12.6,0,0.14,0,0.14,0,9429000
Thailand,0,19.57,1.67,0,2.54,2.9,1.8,0.51,11.66,0.01,1.46,0.09,4.62,0.1,1.76,0.07,0.12,0,0,0.26,30.42,20.23,0.21,10.8,7.8,0.04,0,0.03,0.01,66534000
Timor-Leste,0,17.9,2.03,0,10.22,0.24,0.79,1.3,14.55,0.11,0.18,0.09,3.54,0.28,0.14,0.18,0.2,0,0,0.01,32.11,15.96,0.17,2.9,24.9,0.01,0,0,0,1318000
Togo,0,5.31,0.54,0,8.91,0.2,0.57,0.06,3.39,0.08,0.54,0.07,2.96,0.89,0.22,0.61,0.17,0,0,0,44.69,30.64,0.15,7.1,16.1,0.07,0,0.05,0.01,8279000
Trinidad and Tobago,0,23.35,5.35,0,2.51,0.62,0.78,0.32,11.39,0.1,5.13,0.08,3.2,0.34,0.44,0.08,0.44,0,0,0.6,26.66,18.44,0.18,19.7,5.5,0.56,0.01,0.53,0.02,1369000
Tunisia,0,12.79,2.65,0,3.25,0.93,0.51,0.41,4.03,0.01,4.58,0.09,1.41,0.2,0.34,0.04,0.3,0,0,2.33,37.21,28.16,0.76,27.3,4.3,1.82,0.06,1.45,0.3,11896000
Turkey,0,13.68,2.94,0,2.04,0.83,0.14,0.33,3.85,0.01,5.86,0.07,1.75,0.38,0.37,0.05,0.09,0,0,2.82,36.32,27.82,0.67,32.2,0,3.02,0.03,2.88,0.1,83737000
Turkmenistan,0,32.69,6.49,0,2.99,1.11,0.13,0.31,17.48,0.03,7.44,0.05,0.39,0.04,0.01,0.05,1.08,0,0,0.2,17.31,11.76,0.45,17.5,5.4,0,0,0,0,6031000
Uganda,0,12.31,0.96,0,3.45,0.22,0.86,0.72,6.1,0.01,4.02,0.13,6.56,1.04,0.03,0.57,0.1,0,0,0,37.69,25.05,0.16,4.1,41,0.09,0,0.03,0.05,45741000
Ukraine,0,26.91,5.49,0,3.08,2.45,0.52,0.31,9.64,0.01,8.69,0.12,0.1,0.06,0.04,0.23,0.5,0,0,0.79,23.09,17.46,0.52,26.1,3.5,3.08,0.06,2.65,0.36,41778000
United Arab Emirates,0,21.44,4,0,3.04,1.14,0.81,0.68,9.46,0.1,5.86,0.17,3.2,1.06,1.13,0.02,0.15,0,0,3.82,28.56,14.92,0.43,29.9,2.6,3.31,0.01,3.08,0.22,9778000
United Kingdom,0,25.86,4.26,0,1.47,1.08,0.52,0.42,12.58,0.08,7.35,0.07,1.17,0.06,0.13,0.09,1.46,0,0,0.7,24.13,18.35,0.21,29.5,0,5.87,0.17,0.02,5.69,67160000
United Republic of Tanzania,0,7.59,1.54,0,4.21,0.07,0.46,0.27,3.01,0,2.5,0,8.36,1.02,0.13,0.72,0.03,0,0,0.36,42.41,27.06,0.24,7.1,30.7,0,0,0,0,59734000
United States of America,0,21.2,3.3,0,1.28,1.25,0.39,0.44,9.42,0,6.84,0.01,1.75,0.04,0.09,0.05,0.4,0,0,0.94,28.8,23.61,0.19,37.3,0,8.16,0.14,0,8.02,329878000
Uruguay,0,25.51,3.48,0,2.57,1.28,0.33,0.18,12.28,0.05,8.06,0.07,1.51,0.07,0.03,0.1,0.76,0,0,0.14,24.49,18.88,0.21,28.9,0,1.27,0.01,1.09,0.17,3531000
Uzbekistan,0,25.99,2.49,0,2.72,1.06,0.1,0.58,10.36,0.01,11.81,0.17,0.34,0,0.02,0.09,0.17,0,0,0.78,24.01,18.46,0.85,15.3,6.3,0.23,0,0.23,0,34174000
Vanuatu,0,14.92,1.95,0,4.12,0.35,1.43,0.31,9.93,0.03,1.15,0.1,23.18,0,0.11,0.46,0.22,0,0,0.04,35.08,6.48,0.14,23.5,7.2,0,0,0,0,321000
Venezuela (Bolivarian Republic of),0,16.33,2.27,0,2.54,0.66,0.57,0.96,7.09,0.01,5.52,0.21,0.1,0.12,0,0.13,0.08,0,0,0.02,33.69,29.52,0.19,25.2,21.2,0.45,0,0.42,0.02,28645000
Vietnam,0,33.25,3.82,0,3.72,0.78,1.12,0.41,26.43,0.01,0.75,0.34,4.29,0.08,0.63,0.07,0.08,0.04,0,1.17,16.75,5.62,0.64,2.1,9.3,0,0,0,0,96209000
Yemen,0,12.54,2.01,0,11.53,0.55,0.38,0.26,8,0.03,1.35,0.24,0.76,0.5,0.1,0.05,0.37,0,0,0.08,37.45,23.63,0.17,14.1,38.9,0.01,0,0,0,29826000
Zambia,0.08,9.6,1.61,0,14.32,0.63,1.01,0.13,4.9,0.02,1.28,0.18,9.89,0.08,0.16,0.2,0.07,0,0,0.01,40.39,15.28,0.16,6.5,46.7,0.33,0,0.29,0.04,18384000
Zimbabwe,0,10.38,2.95,0,9.79,0.37,0.25,0.06,4.57,0.02,2.1,0.13,1.95,0.11,0.05,0.09,0.11,0,0,0.43,39.62,26.94,0.08,12.3,51.3,0.23,0.01,0.19,0.03,14863000
