Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Eswatini,0,20.81,3.14,0,12,0.47,0.37,0.47,11.12,0.12,5.43,0.28,3.41,0.21,0.82,0.32,0.06,0,0,0.66,29.19,10.94,0.2,13.5,20.6,1.47,0.05,1.04,0.37,1104000
Ethiopia,0,11.17,1.44,0,11.39,0.22,0.06,0.41,4.18,0,5.11,0.17,2.69,2.55,2.69,0.8,0.02,0,0,0.75,38.82,17.42,0.13,3.6,20.6,0.12,0,0.11,0.01,114916000
Fiji,0,20.05,7.69,0,1.51,0.58,1.47,0.08,8.42,0.03,1.79,0.09,8.96,0.3,0.13,0.36,0.44,0,0,0.15,29.96,17.82,0.17,30,3.7,0.01,0,0.01,0,896000
Finland,0,36.73,6.38,0,1.79,0.85,0.94,0.29,16.66,0.11,11.82,0.08,0.6,0.02,0.04,0.05,0.78,0,0,0.52,13.27,8.86,0.2,24.9,0,0.85,0.01,0.56,0.28,5529000
France,0,30.26,9.2,0,1.43,0.99,0.88,0.39,11.09,0.02,7.95,0.16,0.69,0.03,0.03,0.04,0.63,0,0,0.85,19.74,15.47,0.18,23.2,0,5.2,0.12,0.37,4.71,64940000
French Polynesia,0,25.16,4.66,0,3.73,0.82,1.58,0.2,14.08,0.29,3.88,0.13,4.76,0.04,0.02,0.08,1.27,0,0,0.32,24.84,14,0.14,0,4.2,0,0,0,0,280000
Gabon,0,19.27,0.74,0,4.11,0.2,2.04,0.64,13.41,0.14,2.29,0.6,8.94,0.01,0,0.58,0.71,0,0,0.02,30.73,15.38,0.2,13.4,10.5,0.51,0,0.48,0.03,2231000
Gambia,0,6.04,0.25,0,4.94,0.21,1.35,0.04,1.35,0.06,2.85,0.03,12.48,0.03,0,0.01,0.1,0,0,0.24,43.96,25.99,0.07,8.7,10.2,0.18,0.01,0.16,0.01,2417000
Georgia,0,25.27,7.26,0,4.57,1.18,0.43,0.21,7.23,0.11,9.08,0.1,0.69,0,0.07,0.09,2.78,0,0,1.16,24.72,14.86,0.2,23.3,7.9,7.04,0.09,6.81,0.15,3715000
Germany,0,28.14,11.01,0,1.18,1.05,0.7,0.26,8.91,0,6.43,0.05,0.89,0.01,0.08,0.06,0.66,0,0,1.67,21.86,16.82,0.22,25.7,0,2.74,0.07,2.45,0.22,83300000
Ghana,0,7.69,0.81,0,5.68,0.35,2.78,1.22,3.16,0.05,0.42,0.17,10.91,0.4,1.28,2.01,0,0,0,0.09,42.31,20.45,0.25,9.7,5.5,0.23,0,0.2,0.02,31073000
Greece,0,17.91,1.7,0,1.33,0.77,0.32,0.25,6.63,0.03,8.34,0.14,1.84,0.08,0.05,0.04,0.77,0,0,1.88,32.1,25.53,0.28,27.4,0,1.53,0.06,0.88,0.59,10700000
Grenada,0,23.08,2.49,0,1.49,1.44,1.29,2.84,12.96,0.13,4.82,0.08,3.32,0.19,0.88,0.07,0.87,0,0,0.14,26.92,16.88,0.11,20.2,0,0.13,0,0.13,0,113000
Guatemala,0,15.44,1.76,0,9.4,2.62,0.15,1.25,7.07,0.02,3.74,0.1,3.79,0.58,0.12,0.02,0.38,0,0,0.93,34.56,17.81,0.26,18.8,15.2,0.9,0.03,0.82,0.05,18066000
Guinea,0,6.07,0.76,0,4.71,0.31,0.5,0.34,2.9,0.04,1.49,0.12,6.66,0.17,0,0.33,0.26,0,0,0.01,43.93,30.61,0.78,6.6,16.5,0.12,0,0.11,0,12560000
Guinea-Bissau,0,10.83,0.63,0,2.88,0.15,0.07,0.29,8.05,0.06,1.8,0.13,1.72,0.08,0,0.2,0.22,0,0,3.31,39.17,30.33,0.08,8.2,28,0.14,0,0.13,0.02,1927000
Guyana,0,22.74,1,0,2.91,0.33,1.17,1.5,12.56,0.09,7.63,0.05,9.35,0.39,0.87,0.13,0.93,0,0,0.88,27.26,9.06,1.15,19.2,8.1,1.01,0.02,0.88,0.1,787000
Haiti,0,12.15,1.75,0,5.75,0.14,0.37,1.68,7.89,0.06,1.86,0.14,3.32,0.85,0,0.55,0.36,0,0.02,0,37.85,25.15,0.12,20.5,49.3,0.1,0,0.08,0.02,11403000
Honduras,0,16.71,2.66,0,8.32,0.74,0.13,0.38,7.86,0.07,5.23,0.09,0.59,0.42,0.03,0.02,0.38,0,0,0.1,33.29,22.87,0.12,19.4,12.9,1.56,0.04,0.63,0.9,9864000
Hungary,0,29,12.31,0,1.27,1.2,0.2,0.13,10.06,0,5.23,0,0.36,0.04,0.11,0.04,0.74,0,0,0.05,21,18.07,0.2,28.6,0,3.84,0.13,2.85,0.86,9767000
Iceland,0,34.44,7.11,0,4.3,0.9,1.69,0.5,13.6,0.12,11,0.13,0.89,0.01,0.11,0.03,1.53,0,0,0.5,15.56,7.41,0.17,23.1,0,1.64,0.01,1.62,0.01,368000
India,0,16.05,7.49,0,5.12,0.77,0.38,0.4,0.91,0,6.49,0.03,3.74,1.11,0.8,0.08,0.02,0,0,0.5,33.95,21.78,0.4,3.8,14.5,0.77,0.01,0.75,0.01,1400100000
Indonesia,0,9.17,0.7,0,6.69,1.45,2.51,0.71,3.62,0,0.7,0.16,7.36,0.05,0.39,0.31,0.5,0,0.06,0.4,40.84,24.09,0.27,6.9,8.3,0.42,0.01,0.35,0.06,271739000
Iran (Islamic Republic of),0,16.93,6.04,0,5.59,1.33,0.61,0.62,6.17,0,2.64,0.14,0.41,0.3,0.21,0.17,0.05,0,0,4.9,33.08,20.29,0.53,25.5,4.9,1.73,0.07,1.48,0.18,84150000
Iraq,0,11.13,3.81,0,6.28,1.9,0.14,0.23,3.52,0.04,1.74,0.03,0.96,0.14,0.06,0.03,0.73,0,0,0.63,38.87,29.62,0.15,27.4,29,1.58,0.03,1.51,0.04,39725000
Ireland,0,27.17,8.65,0,2.71,0.92,0.94,0.28,10.05,0.03,6.55,0.07,0.86,0.04,0.07,0.05,1.51,0,0,0.84,22.83,16.18,0.24,26.9,0,4.05,0.07,0.47,3.51,5003000
Israel,0,15.81,1.28,0,1.61,0.87,0.57,1.61,8.15,0.03,4.84,0.09,3.08,0.16,0.06,0.04,0.83,0,0,1.32,34.19,25.18,0.29,26.7,0,7.44,0.06,6.61,0.77,9216000
Italy,0,21.87,5.39,0,1.36,1.05,0.73,0.25,8.71,0.02,5.91,0.06,0.48,0.09,0.01,0.03,0.11,0,0,1.43,28.13,24.13,0.23,22.9,0,4.35,0.15,3.49,0.71,60296000
Jamaica,0,23.09,6.17,0.01,2.24,0.32,1.22,0.43,9.52,0.11,5.71,0.15,3.44,0.09,1.43,0.22,0.35,0,0,0.14,26.91,18.17,0.29,24.4,8,0.6,0.01,0.44,0.15,2809000
Japan,0,19.45,1.91,0.01,1.86,3.12,3.27,0.19,7.83,0.03,3.21,0.1,2.98,0.03,0.14,0.05,0.83,0.01,0,0.65,30.55,23.43,0.35,4.4,0,0.32,0.01,0.28,0.03,125967000
Jordan,0,12.26,1.87,0,3.74,0.52,0.32,0.2,5.81,0.04,3.65,0.09,2.51,0.26,0.12,0.06,0.6,0,0,0.9,37.74,29.06,0.27,33.4,12.2,3.13,0.04,2.99,0.09,10679000
Kazakhstan,0,23.42,3.03,0,1.74,0.9,0.13,0.18,9.67,0.04,9.5,0.17,0.65,0.01,0.03,0.11,0.99,0,0,0.77,26.58,21.73,0.35,21.3,0,1.3,0.02,1.14,0.14,18732000
Kenya,0,17.73,1.87,0,9.97,0.34,0.28,1.08,6.57,0,8.5,0.19,1.67,0.84,0.06,0.26,0.07,0,0,0.6,32.27,17.5,0.21,6,29.4,0.19,0,0.16,0.03,53528000
Kiribati,0,10.57,0.75,0,1.96,0.27,3.08,0.35,6.2,0.04,0.26,0.02,28.56,0,0.01,0.24,0.02,0,0,0.81,39.43,7.29,0.14,45.6,2.7,0,0,0,0,125000
"Korea, North",0,11.47,0.03,0,7.22,1.69,0.54,0.64,8.72,0.01,0.42,0.09,0.98,0.66,0,0.31,0.04,0,0,0.03,38.52,27.6,1.04,7.1,47.8,0,0,0,0,25779000
"Korea, South",0.1,20.05,4.25,0.05,1.84,1.35,1.91,0.18,11.19,0,1.14,0.15,1.89,0.02,0.04,0.03,0.24,0,0,1.2,29.96,23.72,0.69,4.9,0,0.16,0,0.14,0.02,51781000
Kuwait,0,19.89,2.16,0,3.08,2.32,0.37,0.35,9.57,0.11,5.28,0.19,1.34,0.2,0.54,0.05,1.54,0,0,1.18,30.11,21.22,0.51,37,2.8,3.62,0.02,3.43,0.17,4691000
Kyrgyzstan,0,29.12,3.45,0,4.1,0.87,0.09,0.24,10.18,0.04,14.21,0.34,0.09,0.19,0.1,0.19,2.16,0,0,1.59,20.88,11.46,0.72,15.4,7.1,1.29,0.02,1.24,0.03,6594000
Lao People's Democratic Republic,0,21.63,3.96,0,9.1,0.5,1.69,0.88,15.03,0.09,0.22,0.22,5.61,0.14,1.04,0.31,0.08,0.19,0,0.07,28.38,9.76,1.11,4.5,16.5,0,0,0,0,7242000
Latvia,0,30.44,10.44,0,1.53,1.34,0.88,0.25,9.8,0.04,7.86,0.11,0.63,0,0.03,0.13,2,0,0,0.88,19.56,13.79,0.26,25.7,0,3.75,0.07,3.12,0.56,1902000
Lebanon,0,12.4,2.16,0,2.25,0.33,0.37,0.58,5.14,0.04,4.36,0.05,2.84,0.22,0.08,0.12,0.73,0,0,2.91,37.6,27.46,0.37,31.3,11,4.66,0.05,2.95,1.66,6825000
Lesotho,0,12.96,0.53,0,18.38,0.24,0.25,0.15,9.19,0.05,2.41,0.35,0.78,0.4,0.39,0.18,0.15,0,0,0.03,37.03,16.35,0.17,13.5,13.1,0.44,0.01,0.13,0.3,2142000
Liberia,0,7.42,0.42,0,3.36,0.25,0.37,0.14,6.01,0.04,0.24,0.14,1.58,0.04,0,0.31,0.12,0,0,0.39,42.58,36.42,0.19,8.6,37.2,0.04,0,0.03,0,5058000
Lithuania,0,32.3,9.39,0,1.78,1.92,1.24,0.33,14.21,0.01,5.43,0.11,0.84,0.23,0.2,0.06,0.34,0,0,0.92,17.7,12.71,0.26,28.4,0,6.67,0.1,4.94,1.62,2794000
Luxembourg,0,32.45,6.48,0,1.84,1.66,0.7,0.33,16.31,0.07,7.23,0.07,0.64,0.01,0.16,0.03,3.38,0,0,0.13,17.55,10.69,0.26,24.2,0,8.15,0.09,7.66,0.4,632000
Madagascar,0,19.09,1.75,0,10.07,0.34,0.75,1.3,11.56,0.02,4.43,0.3,1.51,0.32,0.26,0.92,0.19,0.02,0,0.21,30.91,15.88,0.19,4.5,44.4,0.07,0,0.07,0,27691000
Malawi,0,18.87,2.63,0,13.09,0.28,0.67,1.38,14.65,0.01,0.4,0.25,5.62,0.75,0.05,1.36,0.03,0,0,0.2,31.12,8.42,0.22,4.7,17.5,0.14,0,0.06,0.08,19130000
Malaysia,0,17.17,1.48,0,2.29,2.76,1.86,0.18,9.8,0.07,1.23,0.03,1.75,0.07,0.66,0.03,0,0,0,0.37,32.83,27.17,0.24,15.3,2.5,0.73,0,0.57,0.16,32781000
Maldives,0,29.74,4.84,0,4.51,3.28,8.41,0.47,5.84,0.46,7.39,0,1.37,0.05,1.17,0.06,1.72,0,0,4.98,20.26,4.95,0.52,7.9,10.3,3.08,0.01,2.69,0.38,541000
Mali,0,17.46,1.22,0,12.09,0.13,0.41,0.3,5.67,0.02,9.71,0.32,3.38,0.55,0.12,0.13,0.03,0,0,1.34,32.54,14.19,0.38,7.1,6.3,0.04,0,0.03,0.01,20251000
Malta,0,29.39,6.66,0,4.88,1.39,1.31,0.27,10.65,0.02,9.33,0.05,1.5,0.08,0.08,0.03,2.68,0,0,1.17,20.61,9.4,0.52,31,0,3.56,0.05,3.05,0.46,522000
Mauritania,0,17.4,1.75,0,4.31,0.43,0.54,0.09,5.75,0.07,8.65,0.28,0.5,0.34,0,0.02,0.17,0,0,0,32.6,26.96,0.15,11.3,10.4,0.36,0.01,0.34,0.01,4650000
Mauritius,0,12.89,1.46,0,3.25,0.74,1.05,0.15,6.76,0.1,2.84,0.06,1.57,0.25,0.35,0.03,0.99,0,0,0.27,37.1,29.99,0.18,11.5,6.5,0.05,0,0.04,0,1265000
Mexico,0,23.77,3.25,0,6.46,2.28,0.47,0.53,13.21,0.01,4.34,0.22,1.19,0.24,0.25,0.02,0.2,0,0,0.74,26.22,16.34,0.24,28.4,3.6,1.51,0.13,1.16,0.22,127792000
Mongolia,0,36.9,5.52,0,2.74,0.59,0.03,0.04,21.02,0.05,9.06,0.67,0.13,0.01,0.01,0.04,1.64,0,0,0.08,13.1,8.22,0.14,19.6,13.4,0.06,0,0.04,0.02,3361000
Montenegro,0,32.79,3.89,0,3.73,1.16,0.35,0.37,14.78,0.1,12.54,0.08,0.58,0.08,0.04,0.03,2.55,0,0,0.84,17.22,8.63,0.26,24.9,0,10.41,0.13,9.04,1.23,622000
Morocco,0,15.42,3.58,0,7.15,1.15,1.23,0.7,7,0.01,2.23,0.23,0.73,0.15,0.4,0.1,0.2,0,0,1.9,34.57,22.95,0.3,25.6,3.4,1.32,0.02,1.26,0.04,35952000
Mozambique,0,11.59,1.12,0,8.81,0.55,0.85,0.18,6.88,0.04,2.08,0.11,1.19,0.7,0.02,0.85,0.1,0,0,0.82,38.42,25.52,0.16,6,27.9,0.14,0,0.09,0.05,31166000
Myanmar,0,26.05,3.01,0,3.82,0.93,2.54,0.28,18.13,0.04,1.28,0.16,5.12,0.69,0.53,0.06,0.03,0,0.08,0.27,23.95,12.75,0.29,5.7,10.6,0,0,0,0,54704000
Namibia,0,16.74,3.32,0,6.8,0.27,0.61,0.28,7.78,0.1,4.55,0.21,0.88,0.43,0.42,0.59,0.6,0,0,0.12,33.27,22.91,0.14,15,27.3,1.37,0.01,1.31,0.04,2541000
Nepal,0,12.19,3.31,0,7.17,0.44,0.16,0.55,2.71,0.01,5.41,0.16,0.45,0.55,1.14,0.2,0.25,0.19,0,0.5,37.81,26.21,0.6,3.8,8.7,0.91,0.01,0.89,0.01,29996000
Netherlands,0,30.15,6.65,0,1.27,1.48,0.75,0.35,10.86,0,10.39,0.03,0.36,0.03,0.12,0.08,0.05,0,0,1.5,19.85,15.84,0.24,23.1,0,5.82,0.08,0.08,5.66,17467000
