Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Cameroon,0.57,8.11,0.01,0,19.77,0.07,3.42,1.51,3.48,0.81,0.32,3.83,8.98,0.86,3.33,0.1,0,0,0.32,41.89,0.01,2.54,0.08,9.5,9.9,0.12,0,0.11,0.01,26598000
Canada,0.35,25.18,0.69,0,12.92,2.06,2.88,0.69,13.73,5.79,0.04,2.42,3.75,0.15,1.38,0.64,0,0.01,0.55,24.82,0.08,1.59,0.29,31.3,0,2.11,0.05,1.91,0,38190000
Central African Republic,0.2,21.85,0.1,0,8.83,0.15,2.43,1,15.32,1.64,2.21,3.61,5.58,0.01,7.77,0.39,0,0.04,0,28.15,0,0.69,0.03,6.3,59.6,0.1,0,0.1,0,4830000
Chad,0.06,15.44,0.04,0,22.67,0.07,2.27,0.1,7.49,2.77,2.8,6.69,3.74,0,1.11,0.01,0,0,0,34.56,0,0.16,0.01,4.8,37.5,0.02,0,0.02,0,16877000
Chile,0.23,25.69,0.1,0,17.78,1.61,2.04,0.5,16.51,5.23,0.19,0.46,1.4,0.03,1.83,0.32,0,0,0.27,24.32,0.02,1.42,0.07,28.8,2.7,3.84,0.1,3.63,0,19470000
China,0.16,30.64,0.05,0.05,10.89,2.71,5.93,0.44,16.31,2.47,3.13,1.79,0.31,0.08,0.53,0.39,0,0.01,0.61,19.35,0.01,3.68,0.47,6.6,8.5,0.01,0,0.01,0,1402385000
Colombia,0.26,25.69,0.03,0,15.04,2.4,1.44,2.15,12.44,8.42,0.95,0.65,2.35,0.11,1.8,0.13,0.01,0.47,0.22,24.31,0.03,0.99,0.08,22.1,4.8,4.35,0.11,4.09,0.15,49444000
Congo,0.73,23.86,0.01,0,13.2,0.14,7.9,0.9,13.56,0.57,1.67,1.75,1.61,0.01,4.97,0.07,0,0,0.01,26.14,0.02,2.71,0.15,8.4,40.3,0.57,0.01,0.38,0.18,5518000
Costa Rica,0.07,28.08,0.07,0,12.68,1.77,3.57,0.84,10.38,11.79,0.5,1.46,4.29,0.1,0.61,0.55,0,0.01,0.14,21.92,0.01,1.04,0.1,25.7,4.8,3.84,0.05,3.06,0.74,5111000
Cote d'Ivoire,0.19,11.58,0,0,20.1,0.49,4.57,1.1,4.42,0.65,1.44,2.27,1.14,0.43,9.46,1.41,0,0,1,38.42,0.01,1.28,0.03,9,19,0.11,0,0.11,0.01,26175000
Croatia,0.64,29.77,0.12,0,13.49,1.31,3.18,0.58,12.77,11.46,0.94,0.59,0.26,0.08,0.9,0.92,0,0.04,0.25,20.23,0.02,2.47,0,27.1,0,5.85,0.13,5.65,0.07,4020000
Cuba,0.12,18.42,0.01,0,17.57,1.38,0.87,1.17,11.18,4.3,0.68,2.61,6.52,0.03,1.24,0.18,0,0,0,31.58,0,2.11,0.03,26.7,0,0.28,0,0.23,0.05,11281000
Cyprus,0.21,28.43,0.04,0,13.7,1.47,4.27,0.87,14.65,7.36,0.64,1.13,1.13,0.08,0.54,0.64,0,0.01,0.4,21.57,0.01,2.15,0.7,22.6,5.6,2.62,0.02,0.17,2.43,1207000
Czechia,1.17,30.74,0.35,0,12.32,1.48,1.56,0.56,14.74,11.94,0.68,0.32,0.72,0.09,1.58,0.57,0,0.02,0.2,19.26,0.06,1.48,0.16,28.5,0,9.61,0.16,8.56,0.9,10716000
Denmark,0.39,32.39,0.42,0,12.04,2.31,3.73,0.55,12.53,12.01,1.39,0.32,0.19,0.19,0.97,0.92,0,0,0.44,17.61,0.06,1.53,0,21.3,0,3.46,0.04,3.31,0.12,5829000
Djibouti,0.02,9.62,0.02,0,29.55,0.24,0.81,0.37,4.3,3.49,0.76,0.25,6.28,0.27,0.52,0.19,0,0,0.11,40.38,0.01,2.41,0.37,12.2,18.9,0.6,0.01,0.59,0,988000
Dominica,0.04,27.26,0.06,0,11.24,0.42,5.42,2.91,12.26,8.34,0.75,0.71,1.77,0.44,3.26,0.6,0,0,0.01,22.74,0.01,1.46,0.28,28.2,6.2,0.17,0,0.15,0.02,72000
Dominican Republic,0.48,25.69,0.02,0,13.11,2.06,2.02,3.52,12.92,7.14,1.53,0.78,3.78,0.07,0.81,0.41,0,0,0.04,24.31,0,0.96,0.34,26.9,9.5,2.12,0.03,1.58,0.51,10500000
Ecuador,0,22.76,0.1,0.01,22.67,1.6,1.65,1.1,11.09,7.36,0.94,0.64,0.89,0.05,0.87,0.05,0,0,0.03,27.24,0.02,0.78,0.16,19.3,7.9,1.47,0.09,1.2,0.18,17511000
Egypt,0.01,12.5,0.05,0,30.35,0.52,3.49,1.08,5.11,2.09,1.23,0.6,1.68,0.21,0.67,0.2,0.13,0,0.05,37.5,0.01,2.49,0.03,31.1,4.5,0.17,0.01,0.13,0.03,100803000
