Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
South Africa,2.29,7.61,0.22,0,26,0.43,0.18,0.52,5.14,1.37,0,0.28,0.45,0.27,0.08,1.05,0.12,0,5.69,0.03,42.38,5.28,0.6,27,6.2,2.47,0.08,2.25,0.15,59628000
Spain,2.42,13.18,1.01,0,11.99,0.81,1.3,1.84,5.96,3.95,0,0.14,0.54,0.7,0.02,1.59,0.35,0,4.82,0.7,36.83,10.38,1.48,27.1,0,6.18,0.13,0.32,5.73,47635000
Sri Lanka,0.21,3.77,0.06,0,26.98,0.33,1.19,1.55,0.61,1.53,0.02,0.06,5.78,1.76,0.86,1.32,0.1,0,5.38,0.17,46.23,1.13,0.98,5.4,9,0.31,0,0.29,0.03,21937000
Sudan,0,7.97,0.43,0,22.83,0.1,0.04,2.38,2.49,4.73,0.02,0.19,1.21,2.08,0.08,0.88,0.06,0.12,6.33,0,42.03,4.71,1.32,7.4,20.1,0.07,0,0.05,0.01,43849000
Suriname,1.45,6.2,0.2,0,20.81,0.41,0.59,2.56,3.84,1.11,0.41,0.04,1.06,0.35,0.04,1.19,0.32,0.06,7.59,0.06,43.79,6.81,1.11,26.5,8.5,1.43,0.03,1.32,0.09,605000
Sweden,2.3,16.49,3.74,0,13.77,0.82,0.92,1.58,5.25,5.76,0.19,0.02,0.47,0.25,0.12,1.54,0.33,0,5.26,0.45,33.49,6.18,1.07,22.1,0,5.67,0.12,0,5.55,10377000
Switzerland,2.33,15.54,2.42,0,11.75,0.59,0.44,1.93,6.18,5.79,0,0.12,0.28,0.25,0.09,1.08,0.21,0,7.9,0.95,34.47,6.7,1,21.2,0,6.16,0.11,3.68,2.37,8634000
Taiwan*,1.28,10.95,1.04,0,15.42,0.91,0.76,2.08,6.99,1.14,0.08,0.1,1.92,0.42,0.2,0.45,0.27,0.05,4.87,0.71,39.04,9.47,1.85,0,3.5,0,0,0,0,23610000
Tajikistan,0.14,5.18,0,0,27.41,0.21,0.02,1.52,2.38,2.38,0.1,0.17,0.4,0.59,0.05,1.38,0.36,0,3.9,0.12,44.84,5.49,3.35,12.6,0,0.14,0,0.14,0,9429000
Thailand,2.14,6.4,0.34,0,23.19,0.9,1.15,1.84,3.08,0.85,0.02,0.07,1.33,0.42,1.06,1.06,0.07,0,7.73,0.11,43.6,4.07,0.58,10.8,7.8,0.04,0,0.03,0.01,66534000
Timor-Leste,0.12,5.05,0.4,0,32.73,0.07,0.37,0.61,4,0.12,0.19,0.07,0.98,1.54,0.07,2.48,0.3,0,2.52,0,44.97,2.97,0.44,2.9,24.9,0.01,0,0,0,1318000
Togo,0.29,2.04,0.1,0,23.28,0.06,0.39,0.21,1.11,0.31,0.16,0.04,0.82,3.03,0.1,10.56,0.06,0,2.82,0,47.96,6.26,0.39,7.1,16.1,0.07,0,0.05,0.01,8279000
Trinidad and Tobago,0.89,9.99,1.4,0,18.42,0.26,0.71,1.25,4.63,2.91,0.38,0.1,1.07,1.43,0.38,1.2,0.18,0,9.15,0.2,40.02,4.77,0.67,19.7,5.5,0.56,0.01,0.53,0.02,1369000
Tunisia,0.25,5.8,0.68,0,23.96,0.39,0.35,1.95,1.69,2.61,0.03,0.07,0.52,1.01,0.25,0.87,0.16,0,5.05,0.74,44.22,7.07,2.37,27.3,4.3,1.82,0.06,1.45,0.3,11896000
Turkey,0.31,7.6,0.93,0,19.29,0.42,0.13,2.29,2.13,3.93,0.03,0.07,0.69,1.72,0.3,1.29,0.1,0,4.36,1.07,42.4,8.76,2.18,32.2,0,3.02,0.03,2.88,0.1,83737000
Turkmenistan,0.23,13.13,1.74,0,27.4,0.47,0.1,1.32,6.44,4.34,0.09,0.05,0.14,0.23,0,1.01,0.42,0,1.31,0.07,36.86,3.13,1.53,17.5,5.4,0,0,0,0,6031000
Uganda,1.79,3.85,0.19,0,13.85,0.07,0.49,6.67,1.49,1.52,0.02,0.09,1.7,5.57,0.02,8.74,0.02,0,2.66,0,46.15,4.62,0.49,4.1,41,0.09,0,0.03,0.05,45741000
Ukraine,1.53,9.88,1.28,0,20.08,0.91,0.35,1.15,3.38,3.84,0.02,0.12,0.03,0.3,0.03,3.97,0.18,0,6.77,0.21,40.11,4.05,1.81,26.1,3.5,3.08,0.06,2.65,0.36,41778000
United Arab Emirates,0,8.85,0.95,0,20.93,0.43,0.61,2.61,3.68,3.07,0.24,0.12,0.95,3.76,0.59,0.39,0.1,0,5.5,1.16,41.14,3.51,1.41,29.9,2.6,3.31,0.01,3.08,0.22,9778000
United Kingdom,2.22,14.22,1.56,0,13.42,0.63,0.53,1.98,6.56,4.84,0.29,0.1,0.55,0.51,0.16,2.58,0.76,0,5.31,0.32,35.78,6.67,1.01,29.5,0,5.87,0.17,0.02,5.69,67160000
United Republic of Tanzania,1.06,2.73,0.31,0,20.41,0.02,0.29,2.5,0.92,1.19,0,0,2.23,4.88,0.06,7.58,0.02,0,2.42,0.08,47.27,5.36,0.65,7.1,30.7,0,0,0,0,59734000
United States of America,2.14,13.62,1.3,0,10.78,0.78,0.48,1.78,6.11,4.93,0,0.01,0.9,0.46,0.11,1.25,0.29,0,8,0.48,36.37,9.28,0.93,37.3,0,8.16,0.14,0,8.02,329878000
Uruguay,1.35,12.18,1.08,0,17.73,0.67,0.29,1.4,5.22,4.84,0.14,0.1,0.59,0.43,0.03,1.59,0.48,0,7.38,0.05,37.81,5.82,0.86,28.9,0,1.27,0.01,1.09,0.17,3531000
Uzbekistan,0.68,10.79,0.61,0,24.82,0.41,0.07,2.22,3.52,6.01,0.03,0.17,0.1,0,0.02,1.62,0.07,0,1.7,0.22,39.22,4.5,3.23,15.3,6.3,0.23,0,0.23,0,34174000
Vanuatu,0.27,7.45,0.67,0,16.1,0.19,1.22,2.29,4.38,0.88,0.08,0.13,10.48,0,0.1,7.91,0.11,0,2.42,0.02,42.54,2.15,0.61,23.5,7.2,0,0,0,0,321000
Venezuela (Bolivarian Republic of),0.85,7.23,0.6,0,21.31,0.29,0.44,2.38,3.14,2.65,0.02,0.13,0.04,0.73,0,1.36,0.07,0,7.79,0,42.76,7.54,0.67,25.2,21.2,0.45,0,0.42,0.02,28645000
Vietnam,0.72,10.98,0.94,0,26.98,0.29,1.04,1.8,7.83,0.56,0.03,0.31,1.89,0.46,0.43,0.72,0.1,0.15,2.09,0.36,39.04,1.33,1.96,2.1,9.3,0,0,0,0,96209000
Yemen,0,3.47,0.34,0,32.07,0.15,0.17,1.19,2.01,0.65,0.05,0.12,0.17,1.21,0.05,0.32,0.12,0,7.03,0.02,46.55,3.95,0.36,14.1,38.9,0.01,0,0,0,29826000
Zambia,1.19,3.3,0.32,0,31.55,0.2,0.57,0.22,1.52,0.52,0.05,0.15,3.18,0.3,0.07,4.1,0.02,0,2.56,0,46.71,3.01,0.45,6.5,46.7,0.33,0,0.29,0.04,18384000
Zimbabwe,1.43,3.94,0.69,0,29.8,0.14,0.16,0.44,1.75,1.08,0.05,0.09,0.69,0.62,0.05,1.29,0.05,0,5.04,0.12,46.08,6.26,0.25,12.3,51.3,0.23,0.01,0.19,0.03,14863000
