Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Egypt,0.03,4.2,0.53,0,32.21,0.2,0.63,2.56,1.64,0.99,0.02,0.21,0.78,0.66,0.12,1.26,0.05,0.35,4.06,0.06,45.79,2.06,1.58,31.1,4.5,0.17,0.01,0.13,0.03,100803000
El Salvador,0.9,7.99,1.37,0,22.6,0.58,0.28,1.99,2.29,3.42,0.24,0.06,1.41,2.95,0.02,1.2,0.17,0,7.2,0.04,42,2.2,1.09,22.7,9,0.87,0.03,0.78,0.06,6481000
Estonia,4.84,15.33,1.96,0,16.21,0.74,0.34,1.54,4.36,7.81,0.05,0.14,0.14,0.43,0.15,2.25,1.13,0,3.78,0.45,34.67,2.45,1.23,23.8,2.9,3.57,0.03,2.83,0.71,1331000
Eswatini,1.56,5.59,0.52,0,27.55,0.12,0.17,1.5,2.77,1.83,0.17,0.17,0.73,0.73,0.33,2.83,0.04,0,6.72,0.12,44.41,1.75,0.42,13.5,20.6,1.47,0.05,1.04,0.37,1104000
Ethiopia,0.48,2.02,0.15,0,31.53,0.04,0.02,0.28,0.65,1.11,0,0.07,0.41,4.47,0.59,6.12,0.07,0,1.87,0.09,47.96,1.8,0.28,3.6,20.6,0.12,0,0.11,0.01,114916000
Fiji,0.73,8.48,2.25,0,18.13,0.27,1.12,0.63,3.56,1.17,0.07,0.12,3.51,1.82,0.12,4.34,0.24,0,5.93,0.05,41.51,5.11,0.83,30,3.7,0.01,0,0.01,0,896000
Finland,2.49,19.22,2.43,0,14.5,0.51,0.94,1.6,7.96,7.27,0.45,0.12,0.3,0.16,0.05,1.69,0.6,0,4.53,0.24,30.78,3.28,0.88,24.9,0,0.85,0.01,0.56,0.28,5529000
France,2,16.99,3.68,0,13.9,0.62,0.9,1.66,6.16,5.4,0.06,0.24,0.35,0.24,0.04,1.32,0.44,0,5.55,0.42,33.01,6.06,0.98,23.2,0,5.2,0.12,0.37,4.71,64940000
French Polynesia,1.49,15.07,1.81,0,15.89,0.5,1.64,1.04,8.14,2.74,1.15,0.22,2.45,0.33,0.02,1.92,0.67,0.14,3.56,0.15,34.94,5.3,0.86,0,4.2,0,0,0,0,280000
Gabon,2.06,7.19,0.15,0,18.01,0.06,1.08,5.28,4.46,0.98,0.32,0.45,2.35,0.04,0,8.4,0.17,0.02,2.72,0.02,42.8,2.89,0.55,13.4,10.5,0.51,0,0.48,0.03,2231000
Gambia,0.35,3.74,0.08,0,26.88,0.1,1.1,0.18,0.63,1.79,0.18,0.04,4.82,0.16,0,0.35,0.08,0,5.59,0.08,46.27,7.28,0.3,8.7,10.2,0.18,0.01,0.16,0.01,2417000
Georgia,1.24,8.81,1.6,0,25.61,0.4,0.26,0.84,2.37,4.08,0.23,0.09,0.19,0,0.05,1.48,0.84,0,6.65,0.3,41.19,3.21,0.57,23.3,7.9,7.04,0.09,6.81,0.15,3715000
Germany,3.29,15.37,4.16,0,12.4,0.62,0.53,1.56,5.08,4.91,0,0.07,0.48,0.1,0.1,1.77,0.42,0,6.48,0.76,34.63,6.19,1.08,25.7,0,2.74,0.07,2.45,0.22,83300000
Ghana,0.4,2.13,0.1,0,13.88,0.07,0.92,5.69,0.74,0.23,0.05,0.08,1.68,1.02,0.58,19.61,0,0.07,1.98,0.1,47.87,2.41,0.41,9.7,5.5,0.23,0,0.2,0.02,31073000
Greece,1.03,11.48,0.7,0,14.47,0.49,0.51,2.3,4.16,5.43,0.16,0.19,0.88,0.67,0.06,1.52,0.49,0,4.26,1.04,38.53,10.17,1.46,27.4,0,1.53,0.06,0.88,0.59,10700000
Grenada,2,12.26,0.73,0,13.76,0.73,1.14,3.56,5.76,3.81,0.35,0.08,1.19,1.31,0.65,1.14,0.31,0,7.91,0.04,37.75,4.91,0.6,20.2,0,0.13,0,0.13,0,113000
Guatemala,0.59,5.55,0.39,0,23.86,0.94,0.1,1.37,2.55,1.49,0.06,0.08,1.08,2.75,0.06,0.35,0.18,0,9.4,0.22,44.47,3.75,0.77,18.8,15.2,0.9,0.03,0.82,0.05,18066000
Guinea,0.09,2.42,0.16,0,24.85,0.11,0.34,2.59,1.04,0.66,0.07,0.11,1.88,0.73,0,6.8,0.09,0,2.22,0,47.59,6.65,1.61,6.6,16.5,0.12,0,0.11,0,12560000
Guinea-Bissau,0.69,3.86,0.16,0,28.61,0.07,0.04,1.95,2.6,0.87,0.13,0.11,0.58,0.4,0,4.11,0.07,0,0.69,1.15,46.15,7.5,0.27,8.2,28,0.14,0,0.13,0.02,1927000
Guyana,0.57,9.01,0.21,0,21.3,0.12,0.87,2.25,3.69,4.11,0.19,0.03,2.53,1.16,0.55,1.33,0.28,0,5.55,0.23,40.99,1.84,3.19,19.2,8.1,1.01,0.02,0.88,0.1,787000
Haiti,2.06,3.79,0.32,0,21.58,0.05,0.21,2.96,2.08,1.06,0.09,0.09,0.81,3.83,0,5.71,0.21,0,4.04,0,46.2,4.55,0.37,20.5,49.3,0.1,0,0.08,0.02,11403000
Honduras,0.71,6.74,0.65,0,23.33,0.29,0.1,1.55,2.9,2.7,0.16,0.08,0.18,2.39,0.02,0.29,0.24,0,8.54,0.04,43.25,5.48,0.37,19.4,12.9,1.56,0.04,0.63,0.9,9864000
Hungary,3.04,16.07,5.28,0,13.42,0.81,0.2,1.03,5.9,3.86,0.02,0,0.2,0.41,0.15,1.34,0.43,0,5.34,0.03,33.93,7.49,1.05,28.6,0,3.84,0.13,2.85,0.86,9767000
Iceland,2.04,22.29,2.99,0,10.78,0.59,2.27,2.22,7.6,8.57,0.47,0.26,0.48,0.1,0.17,1.08,0.94,0,5.32,0.25,27.71,3.02,0.85,23.1,0,1.64,0.01,1.62,0.01,368000
India,0.26,5.56,1.49,0,27.65,0.24,0.26,1.43,0.3,3.26,0,0.02,0.97,3.14,0.6,1.11,0.02,0,3.58,0.2,44.44,4.35,1.13,3.8,14.5,0.77,0.01,0.75,0.01,1400100000
Indonesia,0.03,3.37,0.12,0,31.96,0.4,1.47,1.42,0.92,0.36,0,0.1,1.83,0.17,0.26,2.47,0.14,0,3.46,0.09,46.64,4.08,0.71,6.9,8.3,0.42,0.01,0.35,0.06,271739000
Iran (Islamic Republic of),0,5.85,1.38,0,26.22,0.46,0.37,2.85,2.31,1.22,0,0.1,0.11,1.09,0.13,1.63,0.05,0,4.55,1.28,44.15,4.47,1.78,25.5,4.9,1.73,0.07,1.48,0.18,84150000
Iraq,0.1,4.15,0.94,0,29.73,0.74,0.12,1.58,1.48,0.88,0.12,0.02,0.3,0.7,0.04,0.34,0.26,0,4.71,0.2,45.82,7.24,0.56,27.4,29,1.58,0.03,1.51,0.04,39725000
Ireland,3.23,14.02,3,0,14.45,0.5,0.74,1.88,5.1,4.56,0.08,0.12,0.39,0.32,0.08,1.75,0.71,0,6.05,0.35,35.98,5.45,1.24,26.9,0,4.05,0.07,0.47,3.51,5003000
Israel,0.63,11.57,0.51,0,15.3,0.56,0.64,2.69,5.73,4,0.1,0.14,1.58,0.87,0.07,1.03,0.5,0,3.62,0.66,38.41,9.88,1.52,26.7,0,7.44,0.06,6.61,0.77,9216000
Italy,1.46,12.57,2.1,0,16.3,0.64,0.8,1.99,5.01,3.92,0.11,0.1,0.21,0.7,0.01,0.97,0.16,0,4.43,0.71,37.44,9.17,1.21,22.9,0,4.35,0.15,3.49,0.71,60296000
Jamaica,1.34,9.47,1.58,0,16.13,0.13,0.87,2.58,3.9,2.83,0.29,0.15,1.05,0.51,0.82,2.74,0.16,0,9.27,0.04,40.54,4.59,1.03,24.4,8,0.6,0.01,0.44,0.15,2809000
Japan,2.45,10.16,0.56,0.02,19.63,1.45,2.32,0.87,3.65,2.04,0.07,0.13,2,0.26,0.2,1.11,0.41,0.09,4.47,0.24,39.84,6.75,1.28,4.4,0,0.32,0.01,0.28,0.03,125967000
Jordan,0.06,6.08,0.55,0,22.09,0.24,0.22,1.31,2.89,2.1,0.11,0.07,0.92,1.12,0.09,0.81,0.33,0,6.98,0.35,43.92,8.6,1.14,33.4,12.2,3.13,0.04,2.99,0.09,10679000
Kazakhstan,1.52,14.11,1.13,0,14.67,0.52,0.14,1.63,5.1,6.98,0.14,0.25,0.3,0.08,0.03,2.96,0.49,0,4.13,0.34,35.89,7.74,1.86,21.3,0,1.3,0.02,1.14,0.14,18732000
Kenya,0.68,5.91,0.35,0,26.4,0.09,0.16,1.39,1.88,3.25,0,0.14,0.4,3.56,0.02,3.86,0.07,0,3.67,0.14,44.1,3.3,0.61,6,29.4,0.19,0,0.16,0.03,53528000
Kiribati,0.11,5.96,0.23,0,17,0.13,2.6,1.88,2.68,0.28,0.11,0.02,10.29,0,0.02,3.66,0.02,0,7.92,0.29,44.06,2.19,0.54,45.6,2.7,0,0,0,0,125000
"Korea, North",1.43,3.13,0,0,29.99,0.44,0.42,1.7,2.04,0.15,0.02,0.05,0.52,2.49,0,3.2,0,0,0.86,0.05,46.91,4.58,2.02,7.1,47.8,0,0,0,0,25779000
"Korea, South",2.05,9.34,1.23,0.4,20.58,0.61,1.63,1.13,4.65,0.65,0,0.16,1.08,0.16,0.06,0.56,0.12,0,5.3,0.47,40.66,6.69,2.45,4.9,0,0.16,0,0.14,0.02,51781000
Kuwait,0,9.17,0.58,0,20.42,1.02,0.3,2.51,4.17,2.98,0.32,0.13,0.46,0.83,0.38,1.23,0.61,0,6.14,0.42,40.84,5.76,1.73,37,2.8,3.62,0.02,3.43,0.17,4691000
Kyrgyzstan,0.73,10.99,0.75,0,22.88,0.29,0.05,0.89,3.07,6.58,0.09,0.23,0.02,0.93,0.05,3.09,0.61,0,4.4,0.39,39.03,2.43,2.48,15.4,7.1,1.29,0.02,1.24,0.03,6594000
Lao People's Democratic Republic,1.13,4.79,0.61,0,29.49,0.11,0.79,4.15,2.99,0.15,0.13,0.13,1.18,0.41,0.34,2.46,0.41,0.44,1.54,0.02,45.22,1.46,2.03,4.5,16.5,0,0,0,0,7242000
Latvia,3.06,15.42,3.85,0,14.75,0.74,0.84,1.18,4.89,4.92,0.13,0.16,0.28,0.02,0.03,3.58,0.96,0,4.07,0.38,34.59,4.8,1.34,25.7,0,3.75,0.07,3.12,0.56,1902000
Lebanon,0.35,5.4,0.61,0,21.33,0.14,0.28,2.08,2.14,2.17,0.16,0.05,0.99,1.04,0.09,1.44,0.38,0,6.63,1.02,44.62,7.55,1.53,31.3,11,4.66,0.05,2.95,1.66,6825000
Lesotho,0.77,3.7,0.09,0,34.6,0.07,0.09,0.46,2.3,0.94,0.09,0.22,0.18,1.82,0.18,2.3,0.04,0,2.72,0,46.31,2.76,0.37,13.5,13.1,0.44,0.01,0.13,0.3,2142000
Liberia,0.75,2.79,0.09,0,25.28,0.09,0.26,1.69,2.09,0.14,0.09,0.12,0.54,0.16,0,8.07,0.05,0.16,1.48,0.12,47.19,8.37,0.47,8.6,37.2,0.04,0,0.03,0,5058000
Lithuania,3.32,15.44,2.66,0,15.72,0.85,0.97,1.17,5.78,5.06,0.04,0.13,0.31,1.29,0.16,1.33,0.23,0,6.17,0.32,34.55,3.51,0.99,28.4,0,6.67,0.1,4.94,1.62,2794000
Luxembourg,5.16,17.41,2.4,0,11.98,0.96,0.82,2.07,7.96,5.16,0.28,0.1,0.3,0.1,0.16,1.23,2.01,0,4.05,0.08,32.59,3.87,1.3,24.2,0,8.15,0.09,7.66,0.4,632000
Madagascar,0.29,3.52,0.18,0,31.24,0.05,0.26,1.47,1.81,1.05,0.03,0.13,0.21,0.76,0.08,7.99,0.08,0.11,2.21,0.03,46.48,1.73,0.29,4.5,44.4,0.07,0,0.07,0,27691000
Malawi,0.36,4,0.43,0,23.34,0.08,0.34,3.08,2.91,0.13,0.02,0.13,1.36,2.87,0.04,11.43,0.02,0,1.53,0.04,45.99,1.32,0.59,4.7,17.5,0.14,0,0.06,0.08,19130000
Malaysia,0.21,8.78,0.43,0,21.52,1.22,1.75,1,4.09,1.24,0.29,0.03,0.64,0.45,0.72,0.69,0.02,0,7.03,0.14,41.22,7.53,1.01,15.3,2.5,0.73,0,0.57,0.16,32781000
Maldives,0.36,12.12,0.93,0,22.56,1,4.42,2.13,1.89,3.89,0.82,0,0.36,0.18,0.69,0.82,0.64,0.04,5.37,1.42,37.9,0.93,1.53,7.9,10.3,3.08,0.01,2.69,0.38,541000
Mali,0.65,5.74,0.22,0,32.91,0.03,0.24,0.87,1.74,3.3,0.05,0.17,0.85,1.59,0.12,1.45,0.02,0,1.78,0.36,44.28,2.56,1.04,7.1,6.3,0.04,0,0.03,0.01,20251000
Malta,1.95,14.2,2.04,0,15.89,0.68,0.94,1.57,5.29,5.2,0.09,0.06,0.58,0.52,0.07,1.13,1.13,0,7.53,0.45,35.79,2.85,2.05,31,0,3.56,0.05,3.05,0.46,522000
Mauritania,0,7.37,0.4,0,26.62,0.16,0.33,0.63,2.2,4.08,0.14,0.21,0.18,1.65,0,0.33,0.11,0,6.35,0,42.63,6.09,0.51,11.3,10.4,0.36,0.01,0.34,0.01,4650000
Mauritius,0.85,7.34,0.42,0,23.2,0.35,0.82,0.93,3.23,2.46,0.3,0.06,0.58,1.41,0.29,0.62,0.4,0,4.62,0.1,42.65,8.47,0.91,11.5,6.5,0.05,0,0.04,0,1265000
Mexico,1.2,10.27,0.9,0,21.51,1.07,0.43,1.67,5.04,2.59,0,0.25,0.44,1.55,0.23,0.51,0.08,0,6.99,0.23,39.71,4.48,0.84,28.4,3.6,1.51,0.13,1.16,0.22,127792000
Mongolia,1.54,20.38,2,0,18.77,0.34,0.02,0.34,10.57,6.62,0.19,0.8,0.06,0.08,0,1.22,0.78,0,2.93,0.04,29.64,2.93,0.74,19.6,13.4,0.06,0,0.04,0.02,3361000
Montenegro,1.41,17.63,1.39,0,16.12,0.66,0.36,2.34,6.97,8.1,0.34,0.14,0.27,0.62,0.04,0.7,1.24,0,4.77,0.36,32.38,3.06,1.09,24.9,0,10.41,0.13,9.04,1.23,622000
Morocco,0.09,4.87,0.64,0,29.47,0.34,0.62,2.06,2.09,1.07,0.01,0.12,0.15,0.65,0.22,1.41,0.09,0,5.41,0.43,45.13,4.07,1.08,25.6,3.4,1.32,0.02,1.26,0.04,35952000
Mozambique,0.37,2.91,0.17,0,21.96,0.15,0.46,0.87,1.39,0.69,0.04,0.07,0.28,2.6,0,14.17,0.04,0,2.15,0.17,47.1,3.97,0.43,6,27.9,0.14,0,0.09,0.05,31166000
Myanmar,0.13,10.87,0.81,0,23.44,0.39,2.05,1.35,6.37,1.11,0.09,0.15,1.78,2.63,0.37,0.72,0.07,0,3.55,0.43,39.12,3.33,1.24,5.7,10.6,0,0,0,0,54704000
Namibia,2.41,6.52,0.76,0,18.73,0.1,0.45,1.13,2.86,2.2,0.21,0.16,0.27,1.6,0.27,7.24,0.21,0,5.72,0.04,43.46,5.22,0.45,15,27.3,1.37,0.01,1.31,0.04,2541000
Nepal,0.14,3.77,0.63,0,30.71,0.14,0.09,1.45,0.87,1.94,0.02,0.1,0.12,1.99,0.91,2.72,0.07,0.59,0.91,0.17,46.22,4.92,1.53,3.8,8.7,0.91,0.01,0.89,0.01,29996000
Netherlands,2.22,16.53,2.35,0,11.48,0.85,0.72,2.69,5.74,6.79,0,0.06,0.18,0.23,0.17,2.26,0.12,0,6.59,0.68,33.48,5.59,1.26,23.1,0,5.82,0.08,0.08,5.66,17467000
New Caledonia,1.91,13.34,1.44,0,15.96,0.64,0.85,1.69,6.53,3.74,1.11,0.13,1.76,0.25,0.09,1.25,0.76,0,4.27,0.13,36.67,6.47,1,0,7.1,0,0,0,0,295000
New Zealand,1.65,15.11,4.56,0,14.48,0.63,0.67,1.66,6.87,2.3,0,0.1,0.89,0.52,0.11,1.55,0.13,0,8.87,0.55,34.88,3.36,1.11,32,0,0.05,0,0.04,0,4987000
Nicaragua,0.67,6.33,0.51,0,25.09,0.36,0.23,1.22,2.47,2.64,0.27,0.11,0.57,2.38,0,0.86,0.11,0,7.82,0,43.68,4.15,0.53,21.8,17,0.1,0,0.06,0.03,6596000
Niger,0.02,3.41,0.48,0,31.06,0.02,0.08,0.83,1.09,1.65,0.02,0.12,3.26,6.3,0.14,0.7,0.02,0,0.68,0,46.59,1.88,1.67,4.7,16.5,0.02,0,0.02,0,24189000
Nigeria,1.22,1.62,0.14,0,21.6,0.16,0.35,1.44,0.69,0.22,0.02,0.04,1.24,1.97,0.41,12.26,0.02,0,1.6,0.18,48.39,5.34,1.1,7.8,13.4,0.07,0,0.05,0.01,206140000
North Macedonia,0.98,9.44,2.18,0,16.69,0.35,0.18,2.15,2.98,3.52,0.13,0.18,0.8,0.78,0.33,1.87,0.77,0,6.3,0.43,40.58,6.6,2.73,23.9,3.2,4.55,0.14,4.03,0.38,2080000
Norway,1.71,15.59,2.57,0,14.01,0.67,1.55,1.86,5.67,5.04,1.18,0.07,0.89,0.83,0.06,1.43,0.99,0,4.17,0.43,34.43,6,0.84,25,0,1.2,0.01,0.33,0.86,5387000
