Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Cote d'Ivoire,1.45,0.01,2.91,0,11.46,0.16,1.39,4.87,0.96,0.13,0.02,0.26,0.61,0.17,0.12,23.31,0.08,0.79,0,0.54,0.87,2.81,47.08,9,19,0.11,0,0.11,0.01,26175000
Croatia,4.98,0.23,17.31,0,5.77,0.4,0.92,3.41,3.69,11.88,0,0.19,0.35,0.04,0.02,1.81,0.25,3.09,0,0.08,0.38,12.52,32.68,27.1,0,5.85,0.13,5.65,0.07,4020000
Cuba,2.06,0.12,10.01,0,9.93,0.53,0.34,9.03,3.28,5.6,0.08,0.15,0.53,1.13,0.01,5.16,0.07,3.16,0,0,0.45,8.37,39.99,26.7,0,0.28,0,0.23,0.05,11281000
Cyprus,3.44,0.03,16.17,0,7.06,0.57,1.82,6.2,5.32,8.27,1.49,0.16,0.41,0.21,0.03,1.77,0.24,4.22,0,0.18,1.19,7.39,33.82,22.6,5.6,2.62,0.02,0.17,2.43,1207000
Czechia,9.85,0.89,17.81,0,5.69,0.5,0.54,3.4,4.76,10.98,0.11,0.13,0.09,0.11,0.03,3.4,0.13,3.81,0,0.05,0.99,4.53,32.19,28.5,0,9.61,0.16,8.56,0.9,10716000
Denmark,4.89,1.24,23.21,0,6.72,0.82,1.18,3.11,3.68,15.96,0,0.33,0.12,0.04,0.08,3.11,0.41,2.87,0,0.11,0.09,5.24,26.78,21.3,0,3.46,0.04,3.31,0.12,5829000
Djibouti,0.38,0.06,5.52,0,20.27,0.13,0.43,3.27,1.74,2.91,1.18,0.26,0.06,1.57,0.15,1.86,0.13,4.2,0,0.04,1.62,9.76,44.46,12.2,18.9,0.6,0.01,0.59,0,988000
Dominica,0.94,0.03,8.9,0,3.4,0.12,1.42,19.3,2.78,4.42,0.67,0.12,1.11,0.23,0.15,6.85,0.26,3.17,0,0,0.38,4.64,41.1,28.2,6.2,0.17,0,0.15,0.02,72000
Dominican Republic,3.21,0.11,11.24,0,6.92,0.64,0.61,18.44,3.5,6.12,0.09,0.26,1.14,0.59,0.03,2.02,0.14,2.13,0,0.01,1.29,2.74,38.76,26.9,9.5,2.12,0.03,1.58,0.51,10500000
Ecuador,3.29,0.13,15.35,0.03,14.91,0.69,0.69,8.04,4.01,9.57,0.15,0.22,0.18,0.16,0.02,2.27,0.01,1.74,0,0.02,1.38,2.5,34.65,19.3,7.9,1.47,0.09,1.2,0.18,17511000
Egypt,0.07,0.09,6.74,0,17.53,0.23,1.58,6.94,1.76,2.76,0.02,0.32,0.65,0.31,0.07,2.69,0.09,1.8,2.03,0.03,0.38,10.66,43.26,31.1,4.5,0.17,0.01,0.13,0.03,100803000
El Salvador,2.17,0.11,12.89,0,11.73,0.75,0.57,5.95,2.63,8.74,0.59,0.08,1.43,1.47,0.01,2.25,0.26,3.53,0,0.02,0.46,7.27,37.1,22.7,9,0.87,0.03,0.78,0.06,6481000
Estonia,6.19,0.46,22.32,0,6.35,0.61,0.71,3.51,3.08,17.31,0.15,0.15,0.05,0.15,0.06,3.24,0.21,2.39,0,0.09,0.35,4.96,27.68,23.8,2.9,3.57,0.03,2.83,0.71,1331000
Eswatini,6.22,0.1,7.41,0,14.78,0.16,0.36,8.55,2.59,3.93,0.67,0.26,0.3,0.36,0.16,5.32,0.06,3.18,0,0.09,0.33,2.57,42.58,13.5,20.6,1.47,0.05,1.04,0.37,1104000
Ethiopia,2.45,0.03,5.3,0,22.08,0.06,0.06,1.18,0.75,4.26,0.02,0.14,0.23,3.02,0.43,11.29,0.3,1.32,0,0.08,0.47,1.84,44.7,3.6,20.6,0.12,0,0.11,0.01,114916000
Fiji,1.86,0.29,7.85,0,10.14,0.27,2.38,2.16,3,1.74,0.26,0.16,4.38,0.77,0.05,7.86,0.12,9.73,0,0.02,0.87,3.93,42.15,30,3.7,0.01,0,0.01,0,896000
Finland,4.5,0.52,26.89,0,5.2,0.4,1.53,3.19,3.49,20.84,0.79,0.11,0.09,0.05,0.02,2.77,0.55,1.84,0,0.05,0.25,3.83,23.11,24.9,0,0.85,0.01,0.56,0.28,5529000
